cidade	data_ultima_medicao	valor
Importados/Indefinidos	2020-09-29	1.0
Pequeri	2020-09-29	1.0
Nova Esperança do Sul	2020-09-23	1.0
Novorizonte	2020-09-15	1.0
São Miguel do Passa Quatro	2020-09-10	1.0
Felício dos Santos	2020-09-06	1.0
Casa Grande	2020-09-03	1.0
Coronel Macedo	2020-09-03	1.0
Senador Modestino Gonçalves	2020-09-29	0.5
Ipupiara	2020-09-29	0.5
