cidade	data_ultima_medicao	valor
Fortuna	2020-10-07	0.0013
Formosa da Serra Negra	2020-10-07	0.0013
Anamã	2020-10-07	0.0013
Passagem Franca	2020-10-07	0.0015
João Pinheiro	2020-10-05	0.0016
Massaranduba	2020-10-06	0.0016
Buriticupu	2020-10-07	0.0016
Buriti Bravo	2020-10-07	0.0016
Buriti	2020-10-07	0.0016
Marechal Thaumaturgo	2020-10-07	0.0018
