cidade	data_ultima_medicao	valor
Japurá	2020-10-07	19946.69036
Jacareacanga	2020-10-07	18063.24111
Vitória do Jari	2020-10-07	17312.6615
Pedra Branca do Amapari	2020-10-07	15696.95904
Acarape	2020-10-07	12503.32535
Nova Araçá	2020-10-07	12494.81973
Parauapebas	2020-10-07	12317.86343
Serra do Navio	2020-10-07	12263.11953
Baixa Grande do Ribeiro	2020-10-07	10993.05972
Frecheirinha	2020-10-07	10725.90916
