cidade	data_ultima_medicao	valor
Charrua	2020-10-07	3382.5338253382533
Pimenteiras do Oeste	2020-10-06	2793.296089385475
Anhanguera	2020-09-11	2586.206896551724
Gastão Vidigal	2020-10-06	2469.135802469136
Cosmorama	2020-10-06	2466.429158673609
Dolcinópolis	2020-10-06	2367.4242424242425
Bálsamo	2020-10-06	2297.844403107561
Água Branca	2020-10-07	2289.6393817973667
Montauri	2020-10-07	2081.887578070784
Esperança do Sul	2020-10-07	2079.7227036395147
